"Caeiro_1" "Caeiro_2" "Campos_1" "Campos_2" "Campos_3" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Reis_1"
"que" 4.67041087791901 4.55965021861337 3.84879052002742 3.65528927620431 2.92435246481136 5.10948905109489 4.70483359746434 4.87202292716672 4.94348894348894 4.68827435821191
"a" 3.80333037737708 3.49781386633354 3.06532171187935 3.54232227870572 3.20071984060672 3.78772933517459 3.90253565768621 4.10119577033304 3.77395577395577 3.87550797898702
"e" 4.68026406542517 4.05996252342286 3.41788267554598 3.08238521746147 3.18143839578379 3.43262971000197 3.24881141045959 3.14260302401423 3.29238329238329 3.11230052532461
"o" 3.26140506453838 3.38850718301062 2.81069434923122 2.8483821512144 2.63513079246738 3.43262971000197 3.91244057052298 3.49836940409131 3.60687960687961 3.60788978094955
"de" 2.07902256379939 2.62336039975016 3.68230339829596 3.37287178245784 3.84343466803779 2.17991714342079 2.68423137876387 2.51012945943275 2.4963144963145 2.03191594806225
"não" 2.52241600157651 2.56089943785134 1.5179708157869 1.8800936012265 1.09904235490713 2.20950877885184 2.17908082408875 2.1345982804625 2.03439803439803 2.07156308851224
"é" 2.19726081387329 2.62336039975016 1.11644305161101 0.968288549987896 0.784112089465904 1.91359242454133 1.8324088748019 1.79859669927858 1.80835380835381 1.34800277529983
"me" 1.24150162577594 1.21798875702686 1.19478993242582 1.25070604373437 1.08618805835851 1.21325705267311 1.23811410459588 1.69977270481273 1.38574938574939 0.812766379224898
"se" 1.46812493841758 1.24921923797626 0.989129370286945 0.871459694989107 0.93193649977505 0.927204576839613 1.51545166402536 1.13647593635735 1.30712530712531 1.07047279214987
"do" 0.916346438072717 0.905683947532792 1.40045049456469 0.968288549987896 1.00263513079247 1.21325705267311 1.22820919175911 1.24518233026979 1.02211302211302 1.03082565169987
"um" 1.02473150064046 0.952529668956902 0.93036920967584 0.814976196239813 0.970499389420914 1.09489051094891 1.19849445324881 1.06729914023125 1.26781326781327 0.634354247199921
"em" 0.620750812887969 0.499687695190506 0.754088727842523 1.03284111998709 0.886946461854875 1.0357072400868 0.960776545166403 1.02776954244491 1.33660933660934 0.862325304787392
"da" 0.847374125529609 0.843222985633979 1.0380961707962 1.01670297748729 0.848383572209011 0.946932333793648 0.950871632329635 0.741179958493922 0.746928746928747 0.743383883437407
"os" 0.965612375603508 0.890068707058089 0.891195769268436 1.31525861373356 1.10546950318144 0.443874531465772 0.53486529318542 0.592943966795138 0.402948402948403 1.24888492417484
"eu" 0.955759188097349 1.01499063085572 0.891195769268436 1.29105139998386 0.604151937785205 0.720063128822253 0.841917591125198 1.08706393912442 0.972972972972973 0.227971057587471
"como" 1.04443787565277 1.17114303560275 0.734502007638821 0.718147341241023 0.816247830837457 0.680607614914184 0.584389857369255 0.751062357940508 0.855036855036855 0.664089602537417
"as" 1.18238250073899 0.890068707058089 0.636568406620311 0.960219478737997 1.15045954110161 0.45373840994279 0.53486529318542 0.405178377310011 0.422604422604423 0.832589949449896
"para" 0.965612375603508 1.06183635227983 0.685535207129566 1.01670297748729 0.777684941191593 0.394555139080687 0.445721077654517 0.405178377310011 0.402948402948403 0.545148181187432
"no" 0.551778500344862 0.640224859462836 0.548428165703653 0.629387557492133 0.681277717076933 0.808838035115407 0.80229793977813 0.672003162367823 0.619164619164619 0.614530676974923
"por" 0.709429500443393 0.827607745159275 0.803055528351778 0.911805051238602 0.642714827431069 0.59183270862103 0.386291600633914 0.504002371775867 0.501228501228501 0.485677470512439
"uma" 0.798108187998818 1.06183635227983 0.568014885907355 0.758492697490519 0.629860530882447 0.66087985796015 0.574484944532488 0.672003162367823 0.540540540540541 0.218059272474973
"na" 0.433540250270963 0.374765771392879 0.558221525805504 0.758492697490519 0.482036120573302 0.720063128822253 0.594294770206022 0.464472773989525 0.707616707616708 0.703736742987412
"com" 0.620750812887969 0.468457214241099 0.636568406620311 0.782699911240216 0.739122051545729 0.374827382126652 0.574484944532488 0.464472773989525 0.334152334152334 0.535236396074933
"meu" 0.315302000197064 0.343535290443473 0.41132112427774 0.508351488743646 0.520599010219166 0.789110278161373 0.693343898573692 0.968475145765392 0.845208845208845 0.198235702249975
"ser" 0.443393437777121 0.468457214241099 0.499461365194398 0.322762849995965 0.520599010219166 0.621424344052081 0.614104595879556 0.780709556280265 0.766584766584767 0.257706412924968
"mas" 0.640457187900286 0.874453466583385 0.460287924786994 0.387315419995159 0.347066006812777 0.651015979483133 0.584389857369255 0.523767170669038 0.471744471744472 0.406383189612449
"tudo" 0.315302000197064 0.249843847595253 0.803055528351778 0.661663842491729 0.694132013625554 0.473466166896824 0.386291600633914 0.336001581183911 0.501228501228501 0.346912478937457
"sem" 0.325155187703222 0.390381011867583 0.421114484379591 0.56483498749294 0.199241596503631 0.641152101006116 0.713153724247227 0.751062357940508 0.56019656019656 0.327088908712459
"quem" 0.266036062666273 0.437226733291693 0.323180883361081 0.298555636246268 0.218523041326563 0.493193923850858 0.475435816164818 0.909180749085878 0.864864864864865 0.515412825849936
"mim" 0.315302000197064 0.468457214241099 0.401527764175889 0.548696844993141 0.527026158493476 0.572104951666995 0.416006339144216 0.54353196956221 0.55036855036855 0.178412132024978
"vida" 0.157651000098532 0.265459088069956 0.41132112427774 0.524489631243444 0.404910341281573 0.572104951666995 0.326862123613312 0.464472773989525 0.461916461916462 0.931707800574884
"ou" 0.374421125234013 0.23422860712055 0.352560963666634 0.443798918744452 0.269940227521049 0.414282896034721 0.524960380348653 0.731297559047337 0.540540540540541 0.574883536524928
"só" 0.630604000394127 0.452841973766396 0.274214082851826 0.274348422496571 0.327784561989845 0.463602288419807 0.544770206022187 0.642355964028066 0.442260442260442 0.485677470512439
"ao" 0.39412750024633 0.28107432854466 0.450494564685143 0.548696844993141 0.488463268847612 0.434010652988755 0.455625990491284 0.375531178970254 0.373464373464373 0.485677470512439
"minha" 0.522218937826387 0.655840099937539 0.323180883361081 0.379246348745259 0.578443344687962 0.45373840994279 0.495245641838352 0.38541357841684 0.461916461916462 0.118941421349985
"nem" 0.472953000295596 0.499687695190506 0.303594163157379 0.363108206245461 0.192814448229321 0.512921680804893 0.53486529318542 0.454590374542939 0.501228501228501 0.664089602537417
"nada" 0.305448812690906 0.218613366645846 0.293800803055528 0.419591704994755 0.154251558583457 0.631288222529098 0.36648177496038 0.672003162367823 0.501228501228501 0.654177817424918
"mais" 0.463099812789437 0.687070580886946 0.401527764175889 0.363108206245461 0.334211710264156 0.295916354310515 0.316957210776545 0.365648779523668 0.235872235872236 0.792942808999901
"há" 0.354714750221697 0.374765771392879 0.31338752325923 0.411522633744856 0.231377337875185 0.690471493391201 0.495245641838352 0.395295977863425 0.383292383292383 0.15858856179998
"dos" 0.374421125234013 0.296689569019363 0.41132112427774 0.419591704994755 0.74554919982004 0.167685934109292 0.198098256735341 0.118588793359028 0.157248157248157 0.455942115174943
"alma" 0.16750418760469 0.14053716427233 0.254627362648125 0.266279351246672 0.379201748184331 0.473466166896824 0.485340729001585 0.573179167901967 0.599508599508599 0.168500346912479
"das" 0.374421125234013 0.374765771392879 0.430907844481442 0.427660776244654 0.610579086059515 0.13809429867824 0.287242472266244 0.118588793359028 0.176904176904177 0.327088908712459
"sou" 0.216770125135481 0.32792004996877 0.31338752325923 0.258210279996772 0.257085930972428 0.404419017557704 0.386291600633914 0.780709556280265 0.452088452088452 0.0792942808999901
"porque" 0.591191250369494 0.796377264209869 0.264420722749976 0.18558863874768 0.199241596503631 0.217005326494378 0.36648177496038 0.415060776756597 0.314496314496314 0.23788284269997
"sei" 0.344861562715538 0.484072454715803 0.186073841935168 0.234003066247075 0.192814448229321 0.364963503649635 0.53486529318542 0.494119972329282 0.481572481572482 0.138764991574983
"à" 0.354714750221697 0.265459088069956 0.372147683870336 0.355039134995562 0.250658782698117 0.295916354310515 0.297147385103011 0.197647988931713 0.216216216216216 0.416294974724948
"onde" 0.157651000098532 0.14053716427233 0.264420722749976 0.242072137496974 0.212095893052253 0.414282896034721 0.396196513470681 0.375531178970254 0.530712530712531 0.227971057587471
"nos" 0.157651000098532 0.390381011867583 0.176280481833317 0.18558863874768 0.28279452406967 0.108502663247189 0.16838351822504 0.148235991698784 0.245700245700246 1.09029636237486
"ter" 0.256182875160114 0.437226733291693 0.254627362648125 0.217864923747277 0.173533003406389 0.266324718879463 0.425911251980983 0.375531178970254 0.304668304668305 0.109029636237486
"quando" 0.403980687752488 0.499687695190506 0.195867202037019 0.18558863874768 0.18638729995501 0.187413691063326 0.198098256735341 0.336001581183911 0.275184275184275 0.247794627812469
"são" 0.364567937727855 0.468457214241099 0.176280481833317 0.250141208746873 0.18638729995501 0.217005326494378 0.188193343898574 0.256942385611226 0.275184275184275 0.227971057587471
"todos" 0.16750418760469 0.156152404747033 0.332974243462932 0.774630839990317 0.404910341281573 0.059183270862103 0.0495245641838352 0.0691767961260994 0.147420147420147 0.039647140449995
"eh" 0 0 0.127313681324062 0.0242072137496974 1.52966128928594 0.0197277569540343 0 0 0 0
"coisa" 0.492659375307912 0.546533416614616 0.225247282342572 0.330831921245865 0.173533003406389 0.157822055632275 0.16838351822504 0.177883190038541 0.186732186732187 0.0594707106749926
