"Arriaga" "Assis_1" "Assis_2" "Caeiro" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4"
"a" 4.44970064306305 4.48333603413817 4.25558008339465 3.68498383779019 2.78349398895267 2.82502162006342 4.21707811735086 5.23835417799529 4.47390932420873 4.02455661664393 3.51493848857645 3.4761696545693 3.3256291730868 3.8497446317755 4.54204766901514 3.84271671134942 3.87147489436966 3.84957941613063 3.83513538489973
"e" 3.74011382955133 3.27337546588883 4.07162129016434 4.35498089920658 3.16256904581393 3.08446238108965 3.44779355199664 3.04513322457858 3.5158254918734 4.6677061001754 4.03851786760398 4.67861827721906 2.92116076014381 2.96556647811522 4.8493479238495 2.98877966438288 3.34086666011595 3.30529440870856 3.74272248405877
"que" 3.5035848917141 2.54955976881111 3.102771645818 4.56068175139583 2.03617459114047 1.84491207840876 3.86740331491713 3.32608301613196 2.40376390076989 1.8514909374391 3.44171060339777 2.40489724529952 3.53107344632768 3.03695974518095 3.09548793284365 5.20305828616821 5.24712587206446 4.96783770410688 4.49126698087053
"o" 3.59228324340306 3.39221087884189 3.63829613277737 3.37937114310902 2.61020253438752 2.78658595176324 2.7414504510805 3.36233460213884 3.86655260906758 3.8296628337556 3.56619800820152 2.67818102317446 2.27272727272727 3.06991048382668 2.79568280617599 3.57462019660411 3.95990960007861 3.67144977733795 3.85361796506792
"de" 1.98832138369429 2.50634689137363 2.6081268906876 2.39200705260065 3.37918336402036 3.90122033246853 3.36387159941255 2.45604495196665 2.68605645851155 2.47515104268174 1.51947861745753 1.89112374289462 2.56805341551104 2.92712394969521 3.15544895817718 2.1149836163241 2.58425862238381 2.5531914893617 2.65225025413548
"um" 1.07177174957499 1.2585750553665 0.923881939334478 0.981486923302968 1.07224087512185 1.2203324685308 0.979089446814463 1.17817654522385 2.31822070145423 2.04638472032742 1.56341534856473 1.65063401836467 0.841037493579866 0.955571420726015 0.86193973916954 1.13196306225797 0.962955684386361 1.26669965363681 1.17364384068016
"do" 1.62613644763101 1.49624588127262 1.34085520398986 0.893329415221863 0.823134409184447 0.97050062457961 0.755297573256871 1.00598151169114 1.47134302822926 1.05242642759696 1.57439953134153 1.0166156536948 0.738315356959425 0.933604261628865 1.05681307150352 1.14189256280409 1.021912154859 1.03908955962395 1.27529803160521
"não" 0.406534111907754 1.08572354561659 0.895266127054206 2.4390243902439 1.75457597747211 1.47977322955703 0.951115462619764 0.516585100598151 0.521813515825492 0.467745078931982 0.5199179847686 0.677743769129864 1.27760657421674 0.928112471854577 0.487183330834957 2.48237513653063 2.32878058366906 2.18703612073231 1.81129285648277
"é" 0.532190110133787 0.65359477124183 0.502820701496198 2.30972671172495 1.09390230694249 0.884020370904199 1.1888943282747 0.670654341127424 1.17194183062447 0.808809198986552 0.662712360867018 0.579361609094884 0.969440164355419 0.87868636388599 1.01933743067006 1.7178035944792 1.87678097671219 2.12765957446809 1.89446446723963
"em" 1.92918914923498 1.05331388753849 0.645899762897555 0.593593887746106 1.13722517058378 1.03776304410493 1.32177075319952 1.49537792278412 0.846877673224979 1.29604365620737 0.867750439367311 0.890905115872322 0.905238828967643 0.697457301334505 1.701394093839 1.03266805679674 1.26756411516164 1.12815437902029 0.970335458830053
